时间戳,压力传感器1,压力传感器2
0.0,46.90705898756811,45.78322757044516
0.02002002002002002,30.73198797653616,29.596394415754936
0.04004004004004004,48.102048024938426,46.945658759782766
0.06006006006006006,35.80141611086443,34.6152798160973
0.08008008008008008,36.57754023242293,35.352823215814084
0.10010010010010009,45.07637006371326,43.8043911983935
0.12012012012012012,43.33544166275608,42.0077067162602
0.14014014014014015,35.05653609397025,33.66477131821618
0.16016016016016016,41.96009782708764,40.496282676462144
0.18018018018018017,52.34539885212472,50.801797700293754
0.20020020020020018,48.11710894703716,46.48630167705845
0.22022022022022023,43.75428313810936,42.02919448488029
0.24024024024024024,51.522160467809215,49.69608799681694
0.2602602602602603,48.8516068623252,46.918247474058504
0.2802802802802803,48.39892528242972,46.352400137642384
0.3003003003003003,49.50337442677077,47.338252194030815
0.3203203203203203,42.54453046080404,40.25584879439782
0.34034034034034033,42.369202561925306,39.95248772518302
0.36036036036036034,59.74543830322541,57.19672285966888
0.38038038038038036,62.84163291200354,60.15747141435748
0.40040040040040037,66.29382591084565,63.47130852587101
0.42042042042042044,61.53529050325428,58.57205451852518
0.44044044044044045,53.68154389600484,50.57578306312605
0.46046046046046046,41.485294193155426,38.235765870473145
0.4804804804804805,59.75962630060892,56.36565636716944
0.5005005005005005,59.71072382699373,56.17220934831803
0.5205205205205206,51.12517722324243,47.442586858374916
0.5405405405405406,50.86575536574268,47.040127513964585
0.5605605605605606,54.01140038336351,50.044339077899515
0.5805805805805806,53.39638753935364,49.29005610430999
0.6006006006006006,63.27147372617234,59.028586221789546
0.6206206206206206,54.89724984564087,50.52106033569052
0.6406406406406406,57.61548567863535,53.109775362402296
0.6606606606606606,53.35133371546839,48.72039597520436
0.6806806806806807,54.07139306425049,49.32001648722804
0.7007007007007007,46.129789109963355,41.26323855226856
0.7207207207207207,36.18879019268734,31.212785959633493
0.7407407407407407,48.224543857732286,43.14523908322437
0.7607607607607607,50.78183886461743,45.605795178919564
0.7807807807807807,47.72069531637254,42.45485689849888
0.8008008008008007,46.101018281660984,40.752684398998376
0.8208208208208209,54.5060215434671,49.08281768722019
