ts,hr
-0.00782596454588076,80.13338709325524
1.0488290872980681,80.28343925921138
1.9171854080673942,82.31163155469744
2.997484663723997,85.13203662362115
4.017991681546364,88.24553037978691
4.988389764794166,89.53596819631504
6.060705876167276,89.69080866754321
7.06921062922268,87.90923652338648
7.967632134547009,85.64096404094354
9.022303088238278,82.72122329315427
9.990926199810115,80.42173661049611
11.04238390319573,80.52520030868381
11.942033852340076,81.57126481268944
12.902166279247988,85.67791235454708
13.982731325200296,87.78403996604536
15.051075816798882,89.89078462249448
15.97995680218366,89.33962130206683
16.93922478325406,88.0122311408342
17.958752459642067,85.17480675124331
18.95965052933741,81.65555094564783
20.028016294554412,80.18022950873262
20.958200886620137,79.72529111878302
22.01183757895615,82.22676175568608
23.046168814977264,100.57510458505863
23.984623135802718,102.49808238105162
24.978837534009685,104.97182292765915
26.051978451517687,104.57263033016726
26.90521179944217,102.76386782482346
27.97978004745726,99.54594462906974
28.943448294368594,97.29798041209595
30.013905714423306,95.67996630807379
31.06348255119193,95.62170673563689
32.097463866791635,96.95137959937753
33.03101988183483,84.84613436832183
33.92631303491649,88.21128297575073
34.99705643423925,89.5867580644546
35.913443217689284,90.02745175482157
37.035146331692836,88.03056894887457
37.99727669435959,85.35824987055068
39.04765529658374,82.01393741623397
40.02687921498736,79.93684347836196
40.96311781135989,79.73663676210221
42.09882104734632,82.00877062527185
43.0745160787673,85.41257024103629
43.98674332576258,88.27655323113349
45.07327794478928,90.2469111669583
45.96301030944105,89.42887069436509
46.90333802063419,87.8038289093671
47.90173056857008,85.08744317845849
49.054079513487885,82.05610319587771
49.99527452257098,80.01235722937702
51.08769651082242,80.08379265046837
52.040940619760654,81.82094050107722
52.91368410815254,85.37474370490033
54.02130736393078,88.14065559593436
54.91905167772659,90.0065260619784
56.064817536484604,89.3970201943488
56.920568072287,88.10593972712178
57.90303949412473,84.85899441478293
59.04526016030302,81.56817509809602
60.042331557208016,80.21838850867448
60.98257697798574,80.18202047126434
61.906141077446286,82.35421536796224
62.96203356663574,102.77622097979616
63.93159277713224,105.22185687851926
65.02151217679808,107.98759915901786
65.99148690775861,107.31767171011936
67.0048016601733,104.9683869005892
68.06576168037519,102.4595614652219
68.91489249492871,99.53182187661974
69.92125446574816,97.62266375353215
71.04411889331051,98.11400235727
72.00888804236492,99.74716472757386
73.08252894265863,85.35371003129072
74.09067883450311,88.1682869127258
75.03136185806092,89.81563090760243
76.04684737504017,89.11997710348341
77.09387958491155,87.85753883773636
77.97292371729438,84.84375764252313
78.99608795021774,81.50536592747473
80.0652246186911,79.97665661770301
81.03188077367007,80.30592747194268
82.07586241451646,82.42653541834551
83.0714218560898,85.15060556103035
83.93489527896894,87.72355201108867
85.00614838680663,89.74041943746222
85.94887223713425,89.91382236763829
87.01725406951846,87.78912410540947
87.95485286822039,85.07817521434677
88.91301107481067,82.33817773636318
89.96864298848627,80.33201719181339
90.97610155031064,79.92372728214241
92.04225589991043,81.72371582847032
93.09037051802892,84.86039192923621
94.07669963439535,87.99231306018328
94.97409880281737,89.88626833801261
96.04940111533662,89.98732558688793
97.03533812676658,85.16474238521168
98.05700258555576,84.5963519866668
98.9763474912345,84.81096919914798
