时间戳,压力传感器1,压力传感器2
0.0,58.79159289461118,57.793670234489895
0.02002002002002002,58.79471149137088,57.720346372132326
0.04004004004004004,67.79407669274201,57.7799548097704
0.06006006006006006,65.26401925984567,53.65196939697837
0.08008008008008008,57.89529783229048,53.62760640892339
0.10010010010010009,71.4329559025681,63.96735077019934
0.12012012012012012,58.76866516877726,70.38503120378898
0.14014014014014015,76.15084827201296,65.31325692756145
0.16016016016016016,64.88628860497558,77.96603483747724
0.18018018018018017,72.2025491187032,68.94710503035083
0.20020020020020018,75.42627263750549,69.24569420318457
0.22022022022022023,87.8739244682709,79.91229380594518
0.24024024024024024,80.31890339566579,85.80415978297628
0.2602602602602603,78.77453137813247,79.21877157745452
0.2802802802802803,94.1792672800517,82.23115938922307
0.3003003003003003,87.24682593933274,84.89209020955599
0.3203203203203203,88.98297407623558,80.52196269388058
0.34034034034034033,89.4685509024042,99.25813495751807
0.36036036036036034,89.52247054983172,96.95124049909586
0.38038038038038036,101.88893663015321,96.8413259760161
0.40040040040040037,103.3519215625631,98.1339205725645
0.42042042042042044,102.08743062037722,106.72572679683273
0.44044044044044045,104.70833383696949,99.53470246272256
0.46046046046046046,111.63295983976958,107.04398912106605
0.4804804804804805,113.39532677258653,112.3051074146251
0.5005005005005005,116.29330367299323,108.38961177519161
0.5205205205205206,110.43718644895779,114.97885593618476
0.5405405405405406,116.94133234274125,112.43908894115006
0.5605605605605606,118.42205903503522,111.06643913661998
0.5805805805805806,111.94639466695146,107.32921543307951
0.6006006006006006,120.88665765282447,116.29353496955191
0.6206206206206206,118.38928942987899,111.80173748771713
0.6406406406406406,111.48808981973188,113.73545660883627
0.6606606606606606,127.61546940708716,120.93716292927829
0.6806806806806807,118.00679633124984,112.6595583057739
0.7007007007007007,116.92129279667499,119.5415558083059
0.7207207207207207,113.43553979452177,110.17864130157125
0.7407407407407407,122.76353094764805,122.81983688245437
0.7607607607607607,117.3024686029624,108.69113622008088
0.7807807807807807,115.45006032371256,118.32716157261676
0.8008008008008007,121.04203501095934,122.8069116115867
0.8208208208208209,118.51246517055927,114.82500642893721
0.8408408408408409,125.72878072466712,117.14264778776831
0.8608608608608609,120.64610052417221,118.07633152935223
0.8808808808808809,117.48029422385923,114.68620016307085
0.9009009009009009,128.44239002161098,115.95641891371685
0.9209209209209209,124.51567823525652,123.20122143626548
0.9409409409409409,109.85334530637714,109.85239038018993
0.960960960960961,121.01146587559886,117.10391329781547
0.980980980980981,116.8429301248178,119.65396116403328
1.001001001001001,126.86470351554127,116.2359475861804
1.021021021021021,121.96810700699575,111.9103596904998
1.0410410410410411,123.8848278701338,122.89550659371794
1.0610610610610611,120.80120209673662,112.12221837015993
