timestamp,noisy_signal,upper_bound,lower_bound
5.641881,46.065771,64.32582712263628,46.170269810697036
8.422808,11.889043,31.754425018133556,13.186471915199778
14.084695,31.205423,30.658131063813443,14.82821880285322
16.645549,68.5281,67.68139045859508,47.99887380807159
18.366122,32.707268,32.37695128481154,15.077120048521794
20.986996,47.059435,65.07257476569394,47.2916097676394
22.967656,13.603031,38.281197249094696,14.375464217571976
26.30877,48.425239,65.16409476921585,48.81595243078414
38.772924,10.695653,29.968989836261528,11.517657897071809
39.233078,31.51187,31.311906234496956,15.860080698836374
43.434478,32.171559,31.21334946355986,14.231262936440142
43.754585,11.133284,31.194540751078662,11.664475648921337
51.677226,46.744315,64.56842014348547,47.249364256514525
